Source Sentence,Target Sentence
Article 28,Article 28
"1. In the event of a Contracting Party subjecting imports of products liable to give rise to the difficulties referred to in Articles 25 and 27 to an administrative procedure, the purpose of which is to provide rapid information on the trend of trade flows, it shall inform the other Contracting Party.","1. Si une partie contractante soumet les importations de produits susceptibles de provoquer les difficultés auxquelles font référence les articles 25 et 27 à une procédure administrative ayant pour objet de fournir rapidement des renseignements au sujet de l'évolution des courants commerciaux, elle en informe l'autre partie contractante."
"2. In the cases specified in Articles 23 to 27, before taking the measures provided for therein or, in cases to which paragraph 3 (d) applies, as soon as possible, the Contracting Party in question shall supply the Joint Committee with all relevant information required for a thorough examination of the situation with a view to seeking a solution acceptable to the Contracting Parties.","2. Dans les cas visés aux articles 23 à 27, avant de prendre les mesures qui y sont prévues ou dès que possible dans les cas couverts par le paragraphe 3 sous d), la partie contractante en cause fournit au comité mixte tous les éléments utiles pour permettre un examen approfondi de la situation, en vue de rechercher une solution acceptable pour les parties contractantes."
"In the selection of measures, priority must be given to those which least disturb the functioning of the Agreement.",Les mesures qui apportent le moins de perturbation au fonctionnement de l'accord doivent être choisies par priorité.
"The safeguard measures shall be notified immediately to the Joint Committee and shall be the subject of periodical consultations within the Committee, particularly with a view to their abolition as soon as circumstances permit.","Les mesures de sauvegarde sont immédiatement notifiées au comité mixte et font l'objet, au sein de celui-ci, de consultations périodiques, notamment en vue de leur suppression dès que les conditions le permettent."
"3. For the implementation of paragraph 2, the following provisions shall apply: (a) As regards Article 24, either Contracting Party may refer the matter to the Joint Committee if it considers that a given practice is incompatible with the proper functioning of the Agreement within the meaning of Article 24 (1).","3. Pour la mise en oeuvre du paragraphe 2, les dispositions suivantes sont applicables: a) En ce qui concerne l'article 24, chaque partie contractante peut saisir le comité mixte si elle estime qu'une pratique donnée est incompatible avec le bon fonctionnement de l'accord au sens de l'article 24 paragraphe 1."
"The Contracting Parties shall provide the Joint Committee with all relevant information and shall give it the assistance it requires in order to examine the case and, where appropriate, to eliminate the practice objected to.","Les parties contractantes communiquent au comité mixte tout renseignement utile et lui prêtent l'assistance nécessaire en vue de l'examen du dossier et, le cas échéant, de l'élimination de la pratique incriminée."
"If the Contracting Party in question fails to put an end to the practice objected to within the period fixed by the Joint Committee, or in the absence of agreement in the Joint Committee within three months of the matter being referred to it, the Contracting Party concerned may adopt any safeguard measures it considers necessary to deal with the serious difficulties resulting from the practices in question ; in particular it may withdraw tariff concessions.","A défaut pour la partie contractante en cause d'avoir mis fin aux pratiques incriminées dans le délai fixé au sein du comité mixte, ou à défaut d'accord au sein de ce dernier dans un délai de trois mois à compter du jour où il est saisi, la partie contractante intéressée peut adopter les mesures de sauvegarde qu'elle estime nécessaires pour remédier aux difficultés sérieuses résultant des pratiques visées, notamment procéder à un retrait de concessions tarifaires."
"(b) As regards Article 25, the difficulties arising from the situation referred to in that Article shall be referred for examination to the Joint Committee which may take any decision needed to put an end to such difficulties.","b) En ce qui concerne l'article 25, les difficultés résultant de la situation visée à cet article sont notifiées pour examen au comité mixte qui peut prendre toute décision utile pour y mettre fin."
"If the Joint Committee or the exporting Contracting Party has not taken a decision putting an end to the difficulties within thirty days of the matter being referred, the importing Contracting Party is authorized to levy a compensatory charge on the product imported.","Si le comité mixte ou la partie contractante exportatrice n'a pas pris une décision mettant fin aux difficultés dans un délai de trente jours suivant la notification, la partie contractante importatrice est autorisée à percevoir une taxe compensatoire sur le produit importé."
The compensatory charge shall be calculated according to the incidence on the value of the goods in question of the tariff disparities in respect of the raw materials or intermediate products incorporated therein.,Cette taxe compensatoire est calculée en fonction de l'incidence sur la valeur des marchandises en cause des disparités tarifaires constatées pour les matières premières ou les produits intermédiaires incorporés.
"(c) As regards Article 26, consultation in the Joint Committee shall take place before the Contracting Party concerned takes the appropriate measures.","c) En ce qui concerne l'article 26, une consultation a lieu au sein du comité mixte avant que la partie contractante intéressée prenne les mesures appropriées."
"(d) Where exceptional circumstances requiring immediate action make prior examination impossible, the Contracting Party concerned may, in the situations specified in Articles 25, 26 and 27 and also in the case of export aids having a direct and immediate incidence on trade, apply forthwith the precautionary measures strictly necessary to remedy the situation.","d) Lorsque des circonstances exceptionnelles nécessitant une intervention immédiate excluent un examen préalable, la partie contractante intéressée peut, dans les situations visées aux articles 25, 26 et 27, ainsi que dans les cas d'aides à l'exportation ayant une incidence directe et immédiate sur les échanges, appliquer sans délai les mesures conservatoires strictement nécessaires pour remédier à la situation."
Article 29,Article 29
"Where one or more Member States of the Community or Iceland is in difficulties or is seriously threatened with difficulties as regards its balance of payments, the Contracting Party concerned may take the necessary safeguard measures. It shall inform the other Contracting Party forthwith.","En cas de difficultés ou de menace grave de difficultés dans la balance des paiements d'un ou de plusieurs États membres de la Communauté ou dans celle de l'Islande, la partie contractante intéressée peut prendre les mesures de sauvegarde nécessaires. Elle en informe sans délai l'autre partie contractante."
Article 30,Article 30
"1. A Joint Committee is hereby established which shall be responsible for the administration of the Agreement and shall ensure its proper implementation. For this purpose, it shall make recommendations and take decisions in the cases provided for in the Agreement. These decisions shall be put into effect by the Contracting Parties in accordance with their own rules.","1. Il est institué un comité mixte qui est chargé de la gestion de l'accord et qui veille à sa bonne exécution. A cet effet, il formule des recommandations. Il prend des décisions dans les cas prévus à l'accord. L'exécution de ces décisions est effectuée par les parties contractantes selon leurs règles propres."
"2. For the purpose of the proper implementation of the Agreement the Contracting Parties shall exchange information and, at the request of either Party, shall hold consultations within the Joint Committee.","2. Aux fins de la bonne exécution de l'accord, les parties contractantes procèdent à des échanges d'informations et, à la demande de l'une d'entre elles, se consultent au sein du comité mixte."
3. The Joint Committee shall adopt its own rules of procedure.,3. Le comité mixte établit son règlement intérieur.
Article 31,Article 31
"1. The Joint Committee shall consist of representatives of the Community, on the one hand, and of representatives of Iceland, on the other.","1. Le comité mixte est composé, d'une part, de représentants de la Communauté et, d'autre part, de représentants de l'Islande."
2. The Joint Committee shall act by mutual agreement.,2. Le comité mixte se prononce d'un commun accord.
Article 32,Article 32
"1. Each Contracting Party shall preside in turn over the Joint Committee, in accordance with the arrangements to be laid down in its rules of procedure.",1. La présidence du comité mixte est exercée à tour de rôle par chacune des parties contractantes selon des modalités à prévoir dans son règlement intérieur.
2. The Chairman shall convene meetings of the Joint Committee at least once a year in order to review the general functioning of the Agreement.,"2. Le comité mixte se réunit au moins une fois par an à l'initiative de son président, en vue de procéder à un examen du fonctionnement général de l'accord."
"The Joint Committee shall, in addition, meet whenever special circumstances so require, at the request of either Contracting Party, in accordance with the conditions to be laid down in its rules of procedure.","Il se réunit, en outre, chaque fois qu'une nécessité particulière le requiert, à la demande de l'une des parties contractantes, dans des conditions à prévoir dans son règlement intérieur."
3. The Joint Committee may decide to set up any working party that can assist it in carrying out its duties.,3. Le comité mixte peut décider de constituer tout groupe de travail propre à l'assister dans l'accomplissement de ses tâches.
Article 33,Article 33
"1. Where a Contracting Party considers that it would be useful in the common interest of both Contracting Parties to develop the relations established by the Agreement by extending them to fields not covered thereby, it shall submit a reasoned request to the other Contracting Party.","1. Lorsqu'une partie contractante estime qu'il serait utile, dans l'intérêt commun des deux parties contractantes, de développer les relations établies par l'accord en les étendant à des domaines non couverts par celui-ci, elle soumet à l'autre partie contractante une demande motivée."
"The Contracting Parties may instruct the Joint Committee to examine this request and, where appropriate, to make recommendations to them, particularly with a view to opening negotiations.","Les parties contractantes peuvent confier au comité mixte le soin d'examiner cette demande et de leur formuler, le cas échéant, des recommandations, notamment en vue d'engager des négociations."
2. The agreements resulting from the negotiations referred to in paragraph 1 will be subject to ratification or approval by the Contracting Parties in accordance with their own procedures.,2. Les accords résultant des négociations visées au paragraphe 1 sont soumis à ratification ou à approbation par les parties contractantes selon les procédures qui leur sont propres.
Article 34,Article 34
The Annexes and Protocols to the Agreement shall form an integral part thereof.,Les annexes et les protocoles annexés à l'accord en font partie intégrante.
Article 35,Article 35
Either Contracting Party may denounce the Agreement by notifying the other Contracting Party. The Agreement shall cease to be in force twelve months after the date of such notification.,Chaque partie contractante peut dénoncer l'accord par notification à l'autre partie contractante. L'accord cesse d'être en vigueur douze mois après la date de cette notification.
Article 36,Article 36
"The Agreement shall apply, on the one hand, to the territories to which the Treaty establishing the European Economic Community applies upon the terms laid down in that Treaty and, on the other, to the territory of the Republic of Iceland.","L'accord s'applique, d'une part, aux territoires où le traité instituant la Communauté économique européenne est applicable dans les conditions prévues dans ce traité et, d'autre part, au territoire de la république d'Islande."
Article 37,Article 37
"This Agreement is drawn up in duplicate in the Danish, Dutch, English, French, German, Icelandic, Italian and Norwegian languages, each of these texts being equally authentic.","Le présent accord est rédigé en double exemplaire en langues allemande, anglaise, danoise, française, islandaise, italienne, néerlandaise et norvégienne, chacun de ces textes faisant également foi."
This Agreement will be approved by the Contracting Parties in accordance with their own procedures.,Le présent accord sera approuvé par les parties contractantes selon les procédures qui leur sont propres.
"It shall enter into force on 1 January 1973, provided that the Contracting Parties have notified each other before that date that the procedures necessary to this end have been completed.","Il entre en vigueur le 1er janvier 1973, à condition que les parties contractantes se soient notifié avant cette date l'accomplissement des procédures nécessaires à cet effet."
After this date this Agreement shall enter into force on the first day of the second month following such notification. The final date for such notification shall be 30 November 1973.,"Après cette date, le présent accord entre en vigueur le premier jour du deuxième mois suivant cette notification. La date ultime pour cette notification est le 30 novembre 1973."
The provisions applicable on 1 April 1973 shall be applied upon the entry into force of this Agreement if it enters into force after that date.,Les dispositions applicables le 1er avril 1973 sont appliquées à l'entrée en vigueur du présent accord si celle-ci a lieu après cette date.
AGREEMENT between the European Economic Community and the Kingdom of Norway,ACCORD entre la Communauté économique européenne et le royaume de Norvège
"THE EUROPEAN ECONOMIC COMMUNITY,","LA COMMUNAUTÉ ÉCONOMIQUE EUROPÉENNE,"
"of the one part, and","d'une part,"
"THE KINGDOM OF NORWAY,","LE ROYAUME DE NORVÈGE,"
"of the other part,","d'autre part,"
"DESIRING to consolidate and to extend, upon the enlargement of the European Economic Community, the economic relations existing between the Community and Norway and to ensure, with due regard for fair conditions of competition, the harmonious development of their commerce for the purpose of contributing to the work of constructing Europe,","DÉSIREUX de consolider et d'étendre, à l'occasion de l'élargissement de la Communauté économique européenne, les relations économiques existant entre la Communauté et la Norvège et d'assurer, dans le respect des conditions équitables de concurrence, le développement harmonieux de leur commerce dans le but de contribuer à l'oeuvre de la construction européenne,"
"RESOLVED to this end to eliminate progressively the obstacles to substantially all their trade, in accordance with the provisions of the General Agreement on Tariffs and Trade concerning the establishment of free trade areas,","RÉSOLUS à cet effet à éliminer progressivement les obstacles pour l'essentiel de leurs échanges, en conformité avec les dispositions de l'accord général sur les tarifs douaniers et le commerce concernant l'établissement de zones de libre-échange,"
"DECLARING their readiness to examine, in the light of any relevant factor, and in particular of developments in the Community, the possibility of developing and deepening their relations where it would appear to be useful in the interests of their economies to extend them to fields not covered by this Agreement,","SE DÉCLARANT prêts à examiner, en fonction de tout élément d'appréciation et notamment de l'évolution de la Communauté, la possibilité de développer et d'approfondir leurs relations, lorsqu'il apparaîtrait utile dans l'intérêt de leurs économies de les étendre à des domaines non couverts par le présent accord,"
"HAVE DECIDED, in pursuit of these objectives and considering that no provision of this Agreement may be interpreted as exempting the Contracting Parties from the obligations which are incumbent upon them under other international agreements,","ONT DÉCIDÉ, dans la poursuite de ces objectifs et considérant qu'aucune disposition du présent accord ne peut être interprétée comme exemptant les parties contractantes des obligations qui leur incombent en vertu d'autres accords internationaux,"
TO CONCLUDE THIS AGREEMENT:,DE CONCLURE LE PRÉSENT ACCORD:
Article 1,Article premier
"The aim of this Agreement is: (a) to promote through the expansion of reciprocal trade the harmonious development of economic relations between the European Economic Community and the Kingdom of Norway and thus to foster in the Community and in Norway the advance of economic activity, the improvement of living and employment conditions, and increased productivity and financial stability,","Le présent accord vise: a) à promouvoir, par l'expansion des échanges commerciaux réciproques, le développement harmonieux des relations économiques entre la Communauté économique européenne et le royaume de Norvège et à favoriser ainsi dans la Communauté et en Norvège l'essor de l'activité économique, l'amélioration des conditions de vie et des conditions d'emploi, l'accroissement de la productivité et la stabilité financière,"
"(b) to provide fair conditions of competition for trade between the Contracting Parties,","b) à assurer aux échanges entre les parties contractantes des conditions équitables de concurrence,"
"(c) to contribute in this way, by the removal of barriers to trade, to the harmonious development and expansion of world trade.","c) à contribuer ainsi, par l'élimination d'obstacles aux échanges, au développement harmonieux et à l'expansion du commerce mondial."
Article 2,Article 2
"The Agreement shall apply to products originating in the Community or Norway: (i) which fall within Chapters 25 to 99 of the Brussels Nomenclature, excluding the products listed in the Annex;","L'accord s'applique aux produits originaires de la Communauté et de la Norvège: i) relevant des chapitres 25 à 99 de la Nomenclature de Bruxelles, à l'exclusion des produits énumérés à l'annexe;"
(ii) which are specified in Protocol No 2 with due regard to the arrangements provided for in that Protocol.,"ii) figurant au protocole nº 2, compte tenu des modalités particulières prévues dans ce dernier."
Article 3,Article 3
1. No new customs duty on imports shall be introduced in trade between the Community and Norway.,1. Aucun nouveau droit de douane à l'importation n'est introduit dans les échanges entre la Communauté et la Norvège.
2. Customs duties on imports shall be progressively abolished in accordance with the following timetable: (a) on the date of entry into force of the Agreement each duty shall be reduced to 80 % of the basic duty;,"2. Les droits de douane à l'importation sont progressivement supprimés selon le rythme suivant: - à la date de l'entrée en vigueur de l'accord, chaque droit est ramené à 80 % du droit de base,"
(b) four further reductions of 20 % each shall be made on:,"- les quatre autres réductions, de 20 % chacune, sont effectuées:"
"1 January 1974,","le 1er janvier 1974,"
"1 January 1975,","le 1er janvier 1975,"
"1 January 1976,","le 1er janvier 1976,"
1 July 1977.,le 1er juillet 1977.
Article 4,Article 4
1. The provisions concerning the progressive abolition of customs duties on imports shall also apply to customs duties of a fiscal nature.,1. Les dispositions portant sur la suppression progressive des droits de douane à l'importation sont aussi applicables aux droits de douane à caractère fiscal.
The Contracting Parties may replace a customs duty of a fiscal nature or the fiscal element of a customs duty by an internal tax.,Les parties contractantes peuvent remplacer un droit de douane à caractère fiscal ou l'élément fiscal d'un droit de douane par une taxe intérieure.
"2. Denmark, Ireland and the United Kingdom may retain until 1 January 1976 a customs duty of a fiscal nature or the fiscal element of a customs duty in the event of implementation of Article 38 of the %quot%Act concerning the Conditions of Accession and the Adjustments to the Treaties%quot%.","2. Le Danemark, l'Irlande et le Royaume-Uni peuvent maintenir jusqu'au 1er janvier 1976 un droit de douane à caractère fiscal ou l'élément fiscal d'un droit de douane en cas d'application de l'article 38 de l'acte relatif aux conditions d'adhésion et aux adaptations des traités."
"3. Norway may retain temporarily and not beyond 31 December 1975, while observing the conditions of Article 18, a customs duty of a fiscal nature or the fiscal element of any such duty.","3. La Norvège peut maintenir temporairement et au plus tard jusqu'au 31 décembre 1975, en respectant les conditions de l'article 18, un droit de douane à caractère fiscal ou l'élément fiscal d'un droit de douane."
Article 5,Article 5
"1. The basic duty to which the successive reductions provided for in Article 3 and in Protocol No 1 are to be applied shall, for each product, be the duty actually applied on 1 January 1972.","1. Pour chaque produit, le droit de base sur lequel les réductions successives prévues au présent article 3 et au protocole nº 1 doivent être opérées, est le droit effectivement appliqué le 1er janvier 1972."
"2. If, after 1 January 1972, any tariff reductions resulting from the tariff agreements concluded as a result of the Trade Conference held in Geneva from 1964 to 1967 become applicable, such reduced duties shall replace the basic duties referred to in paragraph 1.","2. Si, après le 1er janvier 1972, des réductions de droits résultant des accords tarifaires conclus à l'issue de la conférence de négociations commerciales de Genève (1964/1967) deviennent applicables, les droits ainsi réduits se substituent aux droits de base visés au paragraphe 1."
3. The reduced duties calculated in accordance with Article 3 and Protocols Nos 1 and 2 shall be applied rounded to the first decimal place.,3. Les droits réduits calculés conformément à l'article 3 et aux protocoles nºs 1 et 2 sont appliqués en arrondissant à la première décimale.
"Subject to the application by the Community of Article 39 (5) of the %quot%Act concerning the Conditions of Accession and the Adjustments to the Treaties%quot% as regards the specific duties or the specific part of the mixed duties in the Irish Customs Tariff, Article 3 and Protocols Nos 1 and 2 shall be applied, with rounding to the fourth decimal place.","Sous réserve de l'application à donner par la Communauté à l'article 39 paragraphe 5 de l'acte relatif aux conditions d'adhésion et aux adaptations des traités pour les droits spécifiques ou la partie spécifique des droits mixtes du tarif douanier irlandais, l'article 3 et les protocoles nºs 1 et 2 sont appliqués en arrondissant à la quatrième décimale."
Article 6,Article 6
1. No new charge having an effect equivalent to a customs duty on imports shall be introduced in trade between the Community and Norway.,1. Aucune nouvelle taxe d'effet équivalant à des droits de douane à l'importation n'est introduite dans les échanges entre la Communauté et la Norvège.
2. Charges having an effect equivalent to customs duties on imports introduced on or after 1 January 1972 in trade between the Community and Norway shall be abolished upon the entry into force of the Agreement.,2. Les taxes d'effet équivalant à des droits de douane à l'importation introduites à partir du 1er janvier 1972 dans les échanges entre la Communauté et la Norvège sont supprimées à l'entrée en vigueur de l'accord.
"Any charge having an effect equivalent to a customs duty on imports, the rate of which on 31 December 1972 is higher than that actually applied on 1 January 1972, shall be reduced to the latter rate upon the entry into force of the Agreement.","Toute taxe d'effet équivalant à un droit de douane à l'importation dont le taux serait, le 31 décembre 1972, supérieur à celui effectivement appliqué le 1er janvier 1972 est ramenée à ce dernier taux à l'entrée en vigueur de l'accord."
3. Charges having an effect equivalent to customs duties on imports shall be progressively abolished in accordance with the following timetable: (a) by 1 January 1974 at the latest each charge shall be reduced to 60 % of the rate applied on 1 January 1972;,"3. Les taxes d'effet équivalant à des droits de douane à l'importation sont progressivement supprimées selon le rythme suivant: - chaque taxe est ramenée, au plus tard le 1er janvier 1974, à 60 % du taux appliqué le 1er janvier 1972;"
(b) three further reductions of 20 % each shall be made on:,"- les trois autres réductions, de 20 % chacune, sont effectuées:"
"1 January 1975,","le 1er janvier 1975,"
"1 January 1976,","le 1er janvier 1976,"
1 July 1977.,le 1er juillet 1977.
Article 7,Article 7
1. No customs duty on exports or charge having equivalent effect shall be introduced in trade between the Community and Norway.,Aucun droit de douane à l'exportation ni taxe d'effet équivalent ne sont introduits dans les échanges entre la Communauté et la Norvège.
Customs duties on exports and charges having equivalent effect shall be abolished not later than 1 January 1974.,Les droits de douane à l'exportation et les taxes d'effet équivalent sont supprimés au plus tard le 1er janvier 1974.
Article 8,Article 8
Protocol No 1 lays down the tariff treatment and arrangements applicable to certain products.,Le protocole nº 1 détermine le régime tarifaire et les modalités applicables à certains produits.
Article 9,Article 9
Protocol No 2 lays down the tariff treatment and arrangements applicable to certain goods obtained by processing agricultural products.,Le protocole nº 2 détermine le régime tarifaire et les modalités applicables à certaines marchandises résultant de la transformation de produits agricoles.
Article 10,Article 10
"1. In the event of specific rules being established as a result of the implementation of its agricultural policy or of any alteration of the current rules, the Contracting Party in question may adapt the arrangements resulting from this Agreement in respect of the products which are the subject of those rules or alterations.","1. En cas d'établissement d'une réglementation spécifique comme conséquence de la mise en oeuvre de sa politique agricole ou de modification de la réglementation existante, la partie contractante en cause peut adapter, pour les produits qui en font l'objet, le régime résultant de l'accord."
2. In such cases the Contracting Party in question shall take due account of the interests of the other Contracting Party. To this end the Contracting Parties may consult each other within the Joint Committee provided for in Article 29.,"2. Dans ces cas, la partie contractante en cause tient compte de manière appropriée des intérêts de l'autre partie contractante. Les parties contractantes peuvent, à cette fin, se consulter au sein du comité mixte prévu à l'article 29."
Article 11,Article 11
Protocol No 3 lays down the rules of origin.,Le protocole nº 3 détermine les règles d'origine.
Article 12,Article 12
"A Contracting Party which is considering the reduction of the effective level of its duties or charges having equivalent effect applicable to third countries benefiting from most-favoured-nation treatment, or which is considering the suspension of their application, shall, as far as may be practicable, notify the Joint Committee not less than thirty days before such reduction or suspension comes into effect. It shall take note of any representations by the other Contracting Party regarding any distortions which might result therefrom.","La partie contractante qui envisage de réduire le niveau effectif de ses droits de douane ou taxes d'effet équivalent applicables aux pays tiers bénéficiant de la clause de la nation la plus favorisée, ou d'en suspendre l'application, notifie cette réduction ou cette suspension au comité mixte trente jours au moins avant son entrée en vigueur, pour autant que cela soit possible. Elle prend acte de toute observation de l'autre partie contractante quant aux distorsions qui pourraient en résulter."
Article 13,Article 13
1. No new quantitative restriction on imports or measures having equivalent effect shall be introduced in trade between the Community and Norway.,1. Aucune nouvelle restriction quantitative à l'importation ni mesure d'effet équivalent ne sont introduites dans les échanges entre la Communauté et la Norvège.
2. Quantitative restrictions on imports shall be abolished on the date of entry into force of the Agreement and any measures having an effect equivalent to quantitative restrictions on imports shall be abolished not later than 1 January 1975.,2. Les restrictions quantitatives à l'importation sont supprimées à la date de l'entrée en vigueur de l'accord et les mesures d'effet équivalant à des restrictions quantitatives à l'importation le 1er janvier 1975 au plus tard.
Article 14,Article 14
"1. The Community reserves the right to modify the arrangements applicable to the petroleum products falling within headings Nos 27.10, 27.11, 27.12, ex 27.13 (paraffin wax, micro-crystalline wax, or bituminous shale and other mineral waxes) and 27.14 of the Brussels Nomenclature upon adoption of a common definition of origin for petroleum products, upon adoption of decisions under the common commercial policy for the products in question or upon establishment of a common energy policy.","1. La Communauté se réserve de modifier le régime des produits pétroliers relevant des positions tarifaires 27.10, 27.11, 27.12, ex 27.13 (paraffine, cires de pétrole ou de minéraux bitumineux, résidus paraffineux) et 27.14 de la Nomenclature de Bruxelles lors de l'adoption d'une définition commune de l'origine pour les produits pétroliers, lors de décisions prises dans le cadre de la politique commerciale commune pour les produits en cause ou lors de l'établissement d'une politique énergétique commune."
"In this event the Community shall take due account of the interests of Norway ; to this end it shall inform the Joint Committee, which shall meet under the conditions set out in Article 31.","Dans ce cas, la Communauté tient compte de manière appropriée des intérêts de la Norvège ; elle informe à cet effet le comité mixte qui se réunit dans les conditions prévues à l'article 31."
2. Norway reserves the right to take similar action should it be faced with like situations.,2. La Norvège se réserve de procéder de façon analogue si des situations comparables se présentent pour elle.
"3. Subject to paragraphs 1 and 2, the Agreement shall not prejudice the non-tariff rules applied to imports of petroleum products.","3. Sous réserve des paragraphes 1 et 2, l'accord ne porte pas atteinte aux réglementations non tarifaires appliquées à l'importation des produits pétroliers."
Article 15,Article 15
"1. The Contracting Parties declare their readiness to foster, so far as their agricultural policies allow, the harmonious development of trade in agricultural products to which the Agreement does not apply.","1. Les parties contractantes se déclarent prêtes à favoriser, dans le respect de leurs politiques agricoles, le développement harmonieux des échanges de produits agricoles auxquels ne s'applique pas l'accord."
"2. The Contracting Parties shall apply their agricultural rules in veterinary, health and plant health matters in a non-discriminatory fashion and shall not introduce any new measures that have the effect of unduly obstructing trade.","2. En matière vétérinaire, sanitaire et phytosanitaire, les parties contractantes appliquent leurs réglementations d'une manière non discriminatoire et s'abstiennent d'introduire de nouvelles mesures ayant pour effet d'entraver indûment les échanges."
"3. The Contracting Parties shall examine, under the conditions set out in Article 31, any difficulties that might arise in their trade in agricultural products and shall endeavour to seek appropriate solutions.",3. Les parties contractantes examinent dans les conditions prévues à l'article 31 les difficultés qui pourraient apparaître dans leurs échanges de produits agricoles et s'efforcent de rechercher les solutions qui pourraient leur être apportées.
Article 16,Article 16
From 1 July 1977 products originating in Norway may not enjoy more favourable treatment when imported into the Community than that applied by the Member States of the Community between themselves.,"A partir du 1er juillet 1977, les produits originaires de Norvège ne peuvent bénéficier d'un traitement plus favorable à l'importation dans la Communauté que celui que les États membres de celle-ci s'accordent entre eux."
Article 17,Article 17
"The Agreement shall not preclude the maintenance or establishment of customs unions, free-trade areas or arrangements for frontier trade, except in so far as they alter the trade arrangements provided for in the Agreement, in particular the provisions concerning rules of origin.","L'accord ne fait pas obstacle au maintien ou à l'établissement d'unions douanières, de zones de libre-échange ou de régimes de trafic frontalier, dans la mesure ou ceux-ci n'ont pas pour effet de modifier le régime des échanges prévu par l'accord, et notamment les dispositions concernant les règles d'origine."
Article 18,Article 18
"The Contracting Parties shall refrain from any measure or practice of an internal fiscal nature establishing, whether directly or indirectly, discrimination between the products of one Contracting Party and like products originating in the territory of the other Contracting Party.",Les parties contractantes s'abstiennent de toute mesure ou pratique de nature fiscale interne établissant directement ou indirectement une discrimination entre les produits d'une partie contractante et les produits similaires originaires de l'autre partie contractante.
Products exported to the territory of one of the Contracting Parties may not benefit from repayment of internal taxation in excess of the amount of direct or indirect taxation imposed on them.,Les produits exportés vers le territoire d'une des parties contractantes ne peuvent bénéficier de ristourne d'impositions intérieures supérieure aux impositions dont ils ont été frappés directement ou indirectement.
Article 19,Article 19
"Payments relating to trade in goods and the transfer of such payments to the Member State of the Community in which the creditor is resident, or to Norway, shall be free from any restrictions.","Les paiements afférents aux échanges de marchandises, ainsi que le transfert de ces paiements vers l'État membre de la Communauté dans lequel réside le créancier ou vers la Norvège, ne sont soumis à aucune restriction."
"The Contracting Parties shall refrain from any exchange or administrative restrictions on the grant, repayment or acceptance of short and medium-term credits covering commercial transactions in which a resident participates.","Les parties contractantes s'abstiennent de toute restriction de change ou administrative concernant l'octroi, le remboursement et l'acceptation des crédits à court et moyen terme couvrant des transactions commerciales auxquelles participe un résident."
Article 20,Article 20
"The Agreement shall not preclude prohibitions or restrictions on imports, exports or goods in transit justified on grounds of public morality, law and order or public security, the protection of life and health of humans, animals or plants, the protection of national treasures of artistic, historic or archaeological value, the protection of industrial and commercial property, or rules relating to gold or silver. Such prohibitions or restrictions must not, however, constitute a means of arbitrary discrimination or a disguised restriction on trade between the Contracting Parties.","L'accord ne fait pas obstacle aux interdictions ou restrictions d'importation, d'exportation ou de transit justifiées par des raisons de moralité publique, d'ordre public, de sécurité publique, de protection de la santé et de la vie des personnes et des animaux ou de préservation des végétaux, de protection des trésors nationaux ayant une valeur artistique, historique ou archéologique ou de protection de la propriété industrielle et commerciale ni aux réglementations en matière d'or et d'argent. Toutefois, ces interdictions ou restrictions ne doivent pas constituer un moyen de discrimination arbitraire, ni une restriction déguisée dans le commerce entre les parties contractantes."
Article 21,Article 21
Nothing in the Agreement shall prevent a Contracting Party from taking any measures: (a) which it considers necessary to prevent the disclosure of information contrary to its essential security interests;,Aucune disposition de l'accord n'empêche une partie contractante de prendre les mesures: a) qu'elle estime nécessaires en vue d'empêcher la divulgation de renseignements contraire aux intérêts essentiels de sa sécurité;
"(b) which relate to trade in arms, munitions or war materials or to research, development or production indispensable for defence purposes, provided that such measures do not impair the conditions of competition in respect of products not intended for specifically military purposes;","b) qui ont trait au commerce d'armes de munitions ou de matériel de guerre ou à la recherche, au développement ou à la production indispensables à des fins défensives, à condition que ces mesures n'altèrent pas les conditions de concurrence en ce qui concerne les produits non destinés à des fins spécifiquement militaires;"
(c) which it considers essential to its own security in time of war or serious international tension.,c) qu'elle estime essentielles à sa sécurité en temps de guerre ou en cas de grave tension internationale.
Article 22,Article 22
1. The Contracting Parties shall refrain from any measure likely to jeopardize the fulfilment of the objectives of the Agreement.,1. Les parties contractantes s'abstiennent de toute mesure susceptible de mettre en péril la réalisation des objectifs de l'accord.
2. They shall take any general or specific measures required to fulfil their obligations under the Agreement.,2. Elles prennent toutes les mesures générales ou particulières propres à assurer l'exécution des obligations de l'accord.
"If either Contracting Party considers that the other Contracting Party has failed to fulfil an obligation under the Agreement, it may take appropriate measures under the conditions and in accordance with the procedures laid down in Article 27.","Si une partie contractante estime que l'autre partie contractante a manqué à une obligation de l'accord, elle peut prendre les mesures appropriées dans les conditions et selon les procédures prévues à l'article 27."
Article 23,Article 23
"1. The following are incompatible with the proper functioning of the Agreement in so far as they may affect trade between the Community and Norway: (i) all agreements between undertakings, decisions by associations of undertakings and concerted practices between undertakings which have as their object or effect the prevention, restriction or distortion of competition as regards the production of or trade in goods;","1. Sont incompatibles avec le bon fonctionnement de l'accord, dans la mesure où ils sont susceptibles d'affecter les échanges entre la Communauté et la Norvège: i) tous accords entre entreprises, toutes décisions d'associations d'entreprises et toutes pratiques concertées entre entreprises qui ont pour objet ou effet d'empêcher, de restreindre ou de fausser le jeu de la concurrence en ce qui concerne la production et les échanges de marchandises;"
